age,income,employment_status,credit_score,deposit_amount,property_value,loan_amount,loan_to_value_ratio,first_home_buyer,loan_approved,PD,loan_prediction,EAD,LGD,ECL
34,112987.0,Full-time,708.0,57534.0,638894,581360,0.91,True,0,0.14472065133358597,0,523224.0,0.6,45432.790844018506
31,103492.0,Full-time,590.0,63181.0,444050,380869,0.86,True,0,0.22048891703723564,0,342782.10000000003,0.6,45347.79240524965
35,86192.0,Full-time,662.0,45099.0,435971,390872,0.9,True,0,0.05248691707628548,0,351784.8,0.6,11078.459775778601
41,72061.0,Full-time,695.0,44761.0,659134,614373,0.93,True,0,0.012568825464232599,0,552935.7000000001,0.6,4169.851383745967
30,98964.0,Contract,689.0,39171.0,640561,601390,0.94,True,0,0.0043212318552434455,0,541251.0,0.6,1403.322637729422
41,102903.0,Full-time,697.0,41740.0,488364,446624,0.91,True,0,0.06577312647603324,0,401961.60000000003,0.6,15862.96269318521
36,97703.0,Self-employed,629.0,62391.0,543367,480976,0.89,True,0,0.07388346221214667,0,432878.4,0.6,19189.532945312705
29,105991.0,Full-time,675.0,46608.0,578980,532372,0.92,True,0,0.01812804805267653,0,479134.8,0.6,5211.467206865735
35,74295.0,Full-time,591.0,67704.0,472328,404624,0.86,True,0,0.23166177954601444,0,364161.60000000003,0.6,50617.39457899434
29,111347.0,Full-time,675.0,60520.0,540877,480357,0.89,True,1,0.25057204138778894,0,432321.3,0.6,64996.57840585363
29,88951.0,Full-time,638.0,30472.0,652186,621714,0.95,True,0,0.00028564403737393987,0,559542.6,0.6,95.89800440802689
33,126505.0,Part-time,725.0,69824.0,714184,644360,0.9,True,0,0.5011978092738709,1,579924.0,0.6,174393.9830072042
21,119719.0,Full-time,674.0,45092.0,660519,615427,0.93,True,0,0.007899333926267847,0,553884.3,0.6,2625.1902253302706
25,71971.0,Full-time,766.0,47152.0,652756,605604,0.93,True,0,0.11245968798922663,0,545043.6,0.6,36777.259917914904
26,78593.0,Full-time,771.0,41032.0,624587,583555,0.93,True,0,0.11142930251384638,0,525199.5,0.6,35113.56837937252
23,93483.0,Full-time,720.0,33103.0,580179,547076,0.94,True,0,0.009197115975716184,0,492368.4,0.6,2717.02156654669
40,95456.0,Contract,704.0,54257.0,705633,651376,0.92,True,0,0.05296991604193223,0,586238.4,0.6,18631.79929713401
30,73525.0,Self-employed,698.0,58144.0,530045,471901,0.89,True,1,0.3563903661052921,1,424710.9,0.6,90817.72388394487
32,84512.0,Full-time,699.0,54034.0,650208,596174,0.92,True,0,0.043601757700678305,0,536556.6,0.6,14036.88651953986
23,127845.0,Self-employed,583.0,42239.0,577639,535400,0.93,True,0,0.00043408274835656007,0,481860.0,0.6,125.50026787385522
28,119550.0,Full-time,666.0,54001.0,587335,533334,0.91,True,0,0.04000011536119356,0,480000.60000000003,0.6,11520.047624065273
32,93726.0,Full-time,722.0,64039.0,585291,521252,0.89,True,1,0.6036458355822261,1,469126.8,0.6,169911.8635080095
25,85760.0,Full-time,677.0,59326.0,532346,473020,0.89,True,1,0.2375858978342261,0,425718.0,0.6,60686.755952514635
34,87400.0,Part-time,609.0,62737.0,598872,536135,0.9,True,0,0.018055907905351127,0,482521.5,0.6,5227.41825981113
28,97270.0,Self-employed,677.0,49948.0,594988,545040,0.92,True,0,0.02068705464563607,0,490536.0,0.6,6088.647022591041
30,64544.0,Part-time,765.0,77575.0,619299,541724,0.87,True,1,0.9760912785608614,1,487551.60000000003,0.6,285536.9187650362
28,79852.0,Full-time,742.0,42357.0,606760,564403,0.93,True,0,0.0502974783466765,0,507962.7,0.6,15329.5457425016
43,51628.0,Part-time,676.0,67313.0,663839,596526,0.9,True,0,0.131447736345864,0,536873.4,0.6,42342.475880584556
31,92984.0,Full-time,727.0,77728.0,673880,596152,0.88,True,1,0.8601841562201692,1,536536.8,0.6,276912.2727534418
36,75336.0,Full-time,594.0,56962.0,669501,612539,0.91,True,0,0.00404855298373447,0,551285.1,0.6,1339.1441618960134
24,116479.0,Full-time,633.0,52075.0,505093,453018,0.9,True,0,0.030185305894675656,0,407716.2,0.6,7384.222929128855
33,60484.0,Full-time,758.0,75541.0,647028,571487,0.88,True,1,0.9307108998842721,1,514338.3,0.6,287220.157222768
20,55712.0,Part-time,666.0,38655.0,649579,610924,0.94,True,0,0.001764752335812613,0,549831.6,0.6,582.1899602421518
24,89489.0,Full-time,667.0,45448.0,447094,401646,0.9,True,0,0.06218492255308716,0,361481.4,0.6,13487.215718028912
33,105941.0,Part-time,665.0,54036.0,607438,553402,0.91,True,0,0.03700005229935323,0,498061.8,0.6,11056.987588986003
33,75822.0,Part-time,761.0,65696.0,539298,473602,0.88,True,1,0.91986843912643,1,426241.8,0.6,235251.82755386396
31,106573.0,Contract,790.0,45479.0,708068,662589,0.94,True,0,0.11396203921265198,0,596330.1,0.6,40775.3965439308
30,84229.0,Contract,672.0,55345.0,547705,492360,0.9,True,0,0.09393456032813659,0,443124.0,0.6,24974.794866507116
29,98046.0,Full-time,753.0,74683.0,654847,580164,0.89,True,1,0.8508189299540185,1,522147.60000000003,0.6,266551.83738603536
38,53472.0,Part-time,621.0,39423.0,588668,549245,0.93,True,0,0.0009888430955309793,0,494320.5,0.6,293.2832480426528
34,114530.0,Full-time,690.0,84131.0,693309,609178,0.88,True,1,0.7189376802885781,1,548260.2000000001,0.6,236498.94982953116
21,112601.0,Full-time,625.0,72423.0,642478,570055,0.89,True,0,0.09246816148778837,0,513049.5,0.6,28464.44641033745
33,72488.0,Full-time,650.0,76362.0,425743,349381,0.82,True,0,0.9847433773062872,1,314442.9,0.6,185787.3379895899
29,92916.0,Full-time,638.0,53055.0,557642,504587,0.9,True,0,0.033229072834825193,0,454128.3,0.6,9054.157414233207
27,94880.0,Part-time,649.0,57750.0,555052,497302,0.9,True,0,0.05357277017598737,0,447571.8,0.6,14386.59670719179
35,90213.0,Full-time,653.0,38502.0,638348,599846,0.94,True,0,0.0013304063486792468,0,539861.4,0.6,430.9410203801198
38,73993.0,Part-time,652.0,52130.0,390014,337884,0.87,True,1,0.3563711699752611,1,304095.60000000003,0.6,65022.54285379741
37,71567.0,Full-time,721.0,67404.0,803920,736516,0.92,True,0,0.11622166029197821,0,662864.4,0.6,46223.52066986758
26,84488.0,Full-time,624.0,79440.0,642482,563042,0.88,True,0,0.19990196307399874,0,506737.8,0.6,60778.728590279614
37,77587.0,Full-time,654.0,57730.0,787492,729762,0.93,True,0,0.005372993546739206,0,656785.8,0.6,2117.3435189939682
29,100433.0,Part-time,644.0,39063.0,669659,630596,0.94,True,0,0.0010614906253286881,0,567536.4,0.6,361.4607408796755
30,28029.0,Full-time,668.0,68870.0,675905,607035,0.9,True,0,0.10172705347630498,0,546331.5,0.6,33346.016229773944
25,107975.0,Contract,738.0,49140.0,610455,561315,0.92,True,0,0.12649220232730213,0,505183.5,0.6,38341.06409664878
40,62606.0,Part-time,704.0,48159.0,533911,485752,0.91,True,0,0.08441342699447747,0,437176.8,0.6,22142.155134287565
31,59106.0,Full-time,624.0,59894.0,545038,485144,0.89,True,0,0.051781031836659115,0,436629.60000000003,0.6,13565.478731056643
38,108216.0,Full-time,714.0,56765.0,491955,435190,0.88,True,1,0.6921118608754827,1,391671.0,0.6,162648.0867965767
34,75645.0,Full-time,700.0,54422.0,593930,539508,0.91,True,0,0.09413196916428479,0,485557.2,0.6,27423.873226737876
34,84061.0,Contract,638.0,64792.0,615273,550481,0.89,True,0,0.09775317386484236,0,495432.9,0.6,29058.083047237837
41,94540.0,Full-time,635.0,84804.0,597093,512289,0.86,True,0,0.687887598718274,1,461060.10000000003,0.6,190294.51503228437
31,86536.0,Part-time,706.0,62098.0,611754,549656,0.9,True,0,0.27257326057760195,0,494690.4,0.6,80903.62518266289
41,59340.0,Contract,741.0,74941.0,558229,483288,0.87,True,1,0.9456157873782004,1,434959.2,0.6,246782.57183123525
36,75124.0,Self-employed,702.0,62366.0,708809,646443,0.91,True,0,0.12404391139052277,0,581798.7000000001,0.6,43301.151833952805
32,53868.0,Full-time,575.0,43539.0,500436,456897,0.91,True,0,0.0013571144822866778,0,411207.3,0.6,334.8332292312016
30,76437.0,Self-employed,650.0,37846.0,618629,580783,0.94,True,0,0.0011271624629307913,0,522704.7,0.6,353.5038702225002
32,115015.0,Full-time,678.0,48909.0,551359,502450,0.91,True,0,0.04839751734226522,0,452205.0,0.6,13131.359597855426
20,102004.0,Part-time,634.0,77878.0,518841,440963,0.85,True,0,0.799544537795489,1,396866.7,0.6,190387.5613307526
30,78026.0,Full-time,633.0,74250.0,492794,418544,0.85,True,0,0.7593057707852657,1,376689.60000000003,0.6,171613.55224487607
34,78014.0,Full-time,646.0,63645.0,634577,570932,0.9,True,0,0.05499283757149343,0,513838.8,0.6,16954.472199798656
40,78567.0,Part-time,694.0,37009.0,545489,508480,0.93,True,0,0.009817686081074571,0,457632.0,0.6,2695.732389992591
28,126534.0,Part-time,670.0,57055.0,677426,620371,0.92,True,0,0.023099512424565156,0,558333.9,0.6,7738.344516063551
27,92638.0,Full-time,568.0,64525.0,679502,614977,0.91,True,0,0.0024286049889784772,0,553479.3,0.6,806.5095535657892
28,93600.0,Full-time,573.0,62633.0,709913,647280,0.91,True,0,0.0026857875371175586,0,582552.0,0.6,938.7665407937448
37,105605.0,Part-time,649.0,32343.0,531809,499466,0.94,True,0,0.0010254508605853211,0,449519.4,0.6,276.5760333478783
33,89775.0,Part-time,702.0,46645.0,638029,591384,0.93,True,0,0.017645802799811486,0,532245.6,0.6,5635.140539200406
28,79819.0,Self-employed,542.0,59038.0,650596,591558,0.91,True,0,0.0008649139493876774,0,532402.2000000001,0.6,276.2892536788129
35,81073.0,Part-time,655.0,68044.0,562065,494021,0.88,True,1,0.3130677662083179,1,444618.9,0.6,83517.50750219969
37,84255.0,Part-time,749.0,57568.0,728761,671193,0.92,True,0,0.19583732698189038,0,604073.7000000001,0.6,70980.10722483622
27,99552.0,Full-time,660.0,62145.0,618199,556054,0.9,True,0,0.08532933269515947,0,500448.60000000003,0.6,25621.76705173607
30,86038.0,Full-time,699.0,72744.0,650877,578133,0.89,True,1,0.48608687405007833,1,520319.7,0.6,151752.34588780472
29,99652.0,Part-time,687.0,70392.0,534233,463841,0.87,True,1,0.7636593553276736,1,417456.9,0.6,191276.92027865344
23,83385.0,Part-time,573.0,68738.0,502457,433719,0.86,True,0,0.15495081750045897,0,390347.10000000003,0.6,36290.761352360045
33,86572.0,Full-time,718.0,48000.0,554444,506444,0.91,True,0,0.13460796529711416,0,455799.60000000003,0.6,36812.55404354311
33,45035.0,Full-time,690.0,31379.0,590078,558699,0.95,True,0,0.001269648469139462,0,502829.10000000003,0.6,383.0497182322641
32,103326.0,Self-employed,705.0,54104.0,514862,460758,0.89,True,1,0.4044360277281013,1,414682.2,0.6,100627.45304253002
30,91929.0,Full-time,876.0,75024.0,599212,524188,0.87,True,1,0.9992598291721789,1,471769.2,0.6,282852.0061204173
23,104960.0,Full-time,575.0,80901.0,464919,384018,0.83,True,0,0.7805058433532287,1,345616.2,0.6,161853.2781945229
29,27074.0,Full-time,766.0,70658.0,510396,439738,0.86,True,1,0.9851891993487326,1,395764.2,0.6,233941.569197335
31,107163.0,Full-time,677.0,51658.0,568649,516991,0.91,True,0,0.04958289790832582,0,465291.9,0.6,13842.312465162568
34,64201.0,Full-time,658.0,58049.0,518578,460529,0.89,True,1,0.13221102285943084,0,414476.10000000003,0.6,32878.985479072646
43,97255.0,Part-time,651.0,85036.0,517807,432771,0.84,True,1,0.9495900867854754,1,389493.9,0.6,221915.72778204796
33,63931.0,Full-time,696.0,45861.0,570138,524277,0.92,True,0,0.02888984591233636,0,471849.3,0.6,8178.992142506264
33,72524.0,Contract,604.0,84221.0,651561,567340,0.87,True,0,0.25074448815033146,0,510606.0,0.6,76818.98406989287
31,123280.0,Contract,717.0,55169.0,674259,619090,0.92,True,0,0.08754907624928958,0,557181.0,0.6,29268.40911219325
20,81186.0,Full-time,659.0,79881.0,560277,480396,0.86,True,1,0.7921188550948894,1,432356.4,0.6,205486.59393656882
31,89348.0,Part-time,623.0,38897.0,507720,468823,0.92,True,0,0.002666835460518635,0,421940.7,0.6,675.1478525976332
32,102401.0,Full-time,657.0,68788.0,621427,552639,0.89,True,1,0.19252011930013108,0,497375.10000000003,0.6,57452.828153348775
